,name,price,valid_until
168,Aceite Gourmet Familia Multiusos 1800 ML,39850,2024-02-23T23:01:50Z
169,Aceite Gourmet Fritos Experto 900 ML,15700,2024-02-23T23:04:39Z
170,Pastas La Muñeca Lasaña 400 G,9990,2024-02-23T23:05:22Z
171,Arroz Tailandés 3 Kg,16740,2024-02-23T23:04:46Z
172,Aceite de Oliva Medalla De Oro Extra Virgen 500 ML,22150,2024-02-23T23:01:50Z
173,Arequipe Alpina 500 G,14050,2024-02-23T23:05:22Z
174,LECHE POLV MEDALLA ORO AZUC BSA 380 g,8300,2024-02-23T23:05:22Z
175,Arroz Corriente a Granel,3850,2024-02-23T23:03:18Z
176,Frijol Olimpica Cargamanto Rojo 500 G,9290,2024-02-23T23:04:35Z
177,Pasta Doria Tornillo 250 G,2250,2024-02-23T23:05:22Z
178,Harina De Maíz Arepasan Blanca 1 Kg,4750,2024-02-23T23:05:22Z
179,"Azúcar Morena Olimpica 2,5 Kg",11500,2024-02-23T23:01:49Z
180,Aceite Gourmet Familia Multiusos 1800 ML,39850,2024-02-23T23:01:50Z
181,Aceite Gourmet Fritos Experto 900 ML,15700,2024-02-23T23:04:39Z
182,Pastas La Muñeca Lasaña 400 G,9990,2024-02-23T23:05:22Z
183,Arroz Tailandés 3 Kg,16740,2024-02-23T23:04:46Z
184,Aceite de Oliva Medalla De Oro Extra Virgen 500 ML,22150,2024-02-23T23:01:50Z
185,Arequipe Alpina 500 G,14050,2024-02-23T23:05:22Z
186,LECHE POLV MEDALLA ORO AZUC BSA 380 g,8300,2024-02-23T23:05:22Z
187,Arroz Corriente a Granel,3850,2024-02-23T23:03:18Z
188,Frijol Olimpica Cargamanto Rojo 500 G,9290,2024-02-23T23:04:35Z
189,Pasta Doria Tornillo 250 G,2250,2024-02-23T23:05:22Z
190,Harina De Maíz Arepasan Blanca 1 Kg,4750,2024-02-23T23:05:22Z
191,"Azúcar Morena Olimpica 2,5 Kg",11500,2024-02-23T23:01:49Z
192,Panela Olimpica Pastilla 1 Kg,5400,2024-02-23T23:14:50Z
193,BEBIDA TOSH ALMENDRA SA 1L,9380,2024-02-23T23:14:46Z
194,Aceite Canola Life 100% Puro de Canola 2 Lt,41990,2024-02-23T23:14:50Z
195,Cereal Kellogg&apos;s Zucaritas 410 G,18060,2024-02-23T23:12:39Z
196,Salsa Olimpica Mostaza Doypack 200 G,2890,2024-02-23T23:17:28Z
197,Crema de Leche Finesse Sem Entera 200 ML,5700,2024-02-23T23:13:37Z
198,Leche en Polvo El Rodeo 875 G,31990,2024-02-23T23:17:09Z
199,Aceite Canola Olimpica 2000 ML,34700,2024-02-23T23:14:50Z
200,Huevos AA Kikes Pet Rojos X12 Unds,9950,2024-02-23T23:14:23Z
201,Leche en Polvo Klim Fortificada Instantánea 360 G,17990,2024-02-23T23:17:28Z
202,AZUCAR INCAUCA 2.5 kg,11850,2024-02-23T23:14:50Z
